Depo_name,Schedule_name,Source,Destination
ADYAR,19B-D1-AS-MAC,THIRUVANMI,TBM WEST  
ADYAR,19B-D1-AS-MAC,TBM WEST  ,THIRUVANMI
ADYAR,19B-D1-AS-MAC,KELAMBAKKA,BROADWAY  
ADYAR,19B-D1-AS-MAC,KELAMBAKKA,T.NAGAR   
ADYAR,19B-D1-AS-MAC,T.NAGAR   ,KELAMBAKKA
ADYAR,19B-D1-AS-MAC,T.NAGAR   ,ADYAR DEPO
ADYAR,19B-D1-AS-MAC,ADYAR DEPO,T.NAGAR   
ADYAR,19B-E1-AS-MAC,THIRUVANMI,TAMBARAM  
ANNA NAGAR,19B-I1-AS-MAC,KELAMBAKKA,ANNA NAGAR
ANNA NAGAR,19B-I1-AS-MAC,KELAMBAKKA,T.NAGAR   
ANNA NAGAR,19B-I1-AS-MAC,T.NAGAR   ,KELAMBAKKA
ANNA NAGAR,19B-I1-AS-MAC,ANNA NAGAR,KELAMBAKKA
SAIDAPET,19B-S-AH-MEX,SIRUCHERI ,SAIDAPET  
THIRUVANMIYUR,19BET-K-PM-MEX,KOMAN NGR ,SAIDAPET  
THIRUVANMIYUR,19BET-K-PM-MEX,T.NAGAB B.,KOMAN NGR 
THIRUVANMIYUR,19BET-K-PM-MEX,KELAMBAKKA,T.NAGAR   
THIRUVANMIYUR,19BET-K-PM-MEX,SAIDAPET  ,KELAMBAKKA
THIRUVANMIYUR,19BET-K-PM-MEX,THIRUVANMI,SAIDAPET  
THIRUVANMIYUR,19BET-K-AM-MEX,KELAMBAKKA,SAIDAPET  
