Depo_name,Schedule_name,Source,Destination
ADYAR,570-F-AS-MAC,SIRUCHERI ,C.M.B.T.  
ADYAR,570-F-AS-MAC,C.M.B.T.  ,KELAMBAKKA
ADYAR,570-F-AS-MAC,C.M.B.T.  ,ADYAR DEPO
ADYAR,570-F-AS-MAC,KELAMBAKKA,C.M.B.T.  
ADYAR,570-I-AS-MAC,C.M.B.T.  ,SIRUCHERI 
ADYAR,570-B-AS-MAC,KELAMBAKKA,BROADWAY  
ADYAR,570-G1-AS-MAC,SIRUCHERI ,AMBATHUR E
ANNA NAGAR,570T-A2-AS-MEX,THALAMBUR ,C.M.B.T.  
ANNA NAGAR,570T-A2-AS-MEX,C.M.B.T.  ,THALAMBUR 
ANNA NAGAR,570-T1-AS-MAC,C.M.B.T.  ,SIRUCHERI 
ANNA NAGAR,570-T1-AS-MAC,C.M.B.T.  ,KELAMBAKKA
ANNA NAGAR,570-X-AS-MDE,C.M.B.T.  ,REDHILLS  
K.K.NAGAR,570-E-AH-MDE,C.M.B.T.  ,KELAMBAKKA
K.K.NAGAR,570-E-AH-MDE,KELAMBAKKA,C.M.B.T.  
K.K.NAGAR,570-E-AH-MDE,K.K NAGAR ,C.M.B.T.  
K.K.NAGAR,570S-E-AS-MDE,C.M.B.T.  ,SIRUCHERI 
K.K.NAGAR,570EX-L-AS-MDE,C.M.B.T.  ,K.K NAGAR 
K.K.NAGAR,570EX-L-AS-MDE,C.M.B.T.  ,THIRUPPORU
K.K.NAGAR,570EX-L-AS-MDE,C.M.B.T.  ,VELACHERY 
THIRUVANMIYUR,570S-I-AS-MDE,SIRUCHERI ,THIRUVANMI
THIRUVANMIYUR,570S-I-AS-MDE,SIRUCHERI ,C.M.B.T.  
THIRUVANMIYUR,570S-I-AS-MDE,CMBT PS   ,SIRUCHERI 
THIRUVANMIYUR,570S-I-AS-MDE,THIRUVANMI,CMBT MARKE
VADAPALANI,570-B1-AS-MDE,KELAMBAKKA,C.M.B.T.  
VADAPALANI,570-B1-AS-MDE,C.M.B.T.  ,KELAMBAKKA
VADAPALANI,570ET-C1-AS-MDE,C.M.B.T.  ,VELACHERY 
VADAPALANI,570ET-C1-AS-MDE,C.M.B.T.  ,THIRUPPORU
