Schedule,Fleet_ID,Route,Device_number,match,GPS file location,Date
120-D-PM-MDE,I3154,120,865733021568233.0,True,KNP_2016_11_Nov_1,08/11/2016
48C-A-PM-MOR,I1362,48C,865733021568043.0,True,KNP_2016_11_Nov_2,08/11/2016
109ET-G1-AS-MDE,I2330,109,865733021567920.0,True,KNP_2016_11_Nov_2,08/11/2016
109ET-W1-AS-MDE,I2330,109,865733021567920.0,True,KNP_2016_11_Nov_2,08/11/2016
56N-J1-AS-MOR,I0941,56N,865733021567631.0,True,KNP_2016_11_Nov_2,08/11/2016
26-C1-AS-MDE,I2102,26,865733021571773.0,True,KNP_2016_11_Nov_2,08/11/2016
25G-X1-AS-MDE,I2230,25G,865733021570171.0,True,KNP_2016_11_Nov_1,08/11/2016
26-D1-AS-MDE,I2155,26,865733021570858.0,True,KNP_2016_11_Nov_1,08/11/2016
166-D-AM-MDE,I3054,166,865733021571567.0,True,KNP_2016_11_Nov_2,08/11/2016
53A-M1-AS-MDE,I3296,53A,862170017135698.0,True,KNP_2016_11_Nov_1,08/11/2016
6D-S-PM-MEX,I0733,6D,865733021570726.0,True,KNP_2016_11_Nov_1,08/11/2016
109-O1-AS-MDE,I2369,109,865733021568084.0,True,KNP_2016_11_Nov_2,08/11/2016
91GS-B1-AP-MEX,I3342,91,865733021568209.0,True,KNP_2016_11_Nov_1,08/11/2016
109-V1-AS-MDE,I2247,109,865733021568381.0,True,KNP_2016_11_Nov_1,08/11/2016
109-I1-AS-MDE,I2227,109,865733021568860.0,True,KNP_2016_11_Nov_1,08/11/2016
6D-R-AM-MDE,I0855,6D,865733021571716.0,True,KNP_2016_11_Nov_1,08/11/2016
1D-B-AM-MEX,I1675,1D,865733021568225.0,True,KNP_2016_11_Nov_1,08/11/2016
