,T.NAGAR,SAIDAPET  ,GUINDY    ,CONCORDE  ,JN.OF R.C ,GURUNANAK ,VELACHERY ,TARAMANI  ,ANNA UNIVE,WPTC      ,SRP TOOLS ,KANDANCHAV,THORAIPAKK,MOOTAIKARA,KARAPAKKAM,SHOZHINGAN,KUMARAN NA,NUCLEUS CO,PERUMBAKKA,CHEMMANCHE,NAVALUR   ,CHURCH    ,SIRUCHERI ,PAL. CHEMI,HINDUSTAN ,KELAMBAKKA,CHENGAMMAL,KALAVAKKAM,THIRUPPORU,TripStartDate,Depot,Source,Destination,Direction,Schedule_Name,Route,Service_type,ETMNO,FLEETNO,TripNo,TripStartTime,TripEndTime,First_Ticket_Stage
T.NAGAR,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
SAIDAPET  ,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
GUINDY    ,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
CONCORDE  ,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
JN.OF R.C ,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
GURUNANAK ,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
VELACHERY ,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
TARAMANI  ,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
ANNA UNIVE,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
WPTC      ,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
