<NUMBER OF ZONES> 24											
<NUMBER OF NODES> 24											
<FIRST THRU NODE> 1											
<NUMBER OF LINKS> 76
init_node,term_node,crowding cost,travel time
1,2,2,10.800295256779876
1,3,1,4.244680039740395
2,1,1,6.260987316461521
2,6,1,12.311922088885815
3,1,2,14.90550127868568
3,4,2,14.667944640321245
3,12,2,6.008687088898412
4,3,1,4.496093867364162
4,5,0,13.520532613893277
4,11,0,5.401839384149734
5,4,0,13.007428158666116
5,6,2,7.027937901708494
5,9,2,10.54016664725658
6,2,1,4.825056718459292
6,5,2,7.368673233000282
6,8,1,14.470881529056854
7,8,0,4.018561040805409
7,18,1,12.709695513537202
8,6,2,3.2945009206047766
8,7,0,5.368301198442975
8,9,0,9.756340503881402
8,16,2,6.687031108961779
9,5,2,9.535886323426313
9,8,1,12.260301966138261
9,10,1,7.667770304473619
10,9,0,10.983968821685181
10,11,1,12.422172458430882
10,15,2,7.597467716744481
10,16,2,6.0905006481251185
10,17,0,14.09309317810438
11,4,0,8.655814790141935
11,10,1,14.992510089633981
11,12,2,3.9516401003167956
11,14,1,8.334836542238195
12,3,2,13.164421066030904
12,11,2,3.5160545956462776
12,13,1,10.575116833706556
13,12,1,7.845464441480009
13,24,0,14.064674775625333
14,11,1,3.300981014469523
14,15,2,5.100787366977213
14,23,2,12.355984870145308
15,10,1,4.769165737989238
15,14,2,9.85785574107907
15,19,2,5.858501381866066
15,22,0,7.1531281660817845
16,8,0,14.225177266455919
16,10,0,11.0730293933495
16,17,1,3.146787386510391
16,18,2,5.684763156953493
17,10,2,13.103398578157416
17,16,2,5.229802457427775
17,19,2,14.637764227885159
18,7,1,6.6913699816757655
18,16,1,4.2405438388412975
18,20,2,7.364998475105691
19,15,1,14.440248902904315
19,17,2,9.904711198127588
19,20,2,4.781574971784927
20,18,2,3.0989571018078106
20,19,1,12.188108392221906
20,21,1,5.292474277267896
20,22,2,9.96194799515322
21,20,0,14.271818731690589
21,22,1,7.205811768681109
21,24,0,4.8131339738202845
22,15,1,7.1198620985285865
22,20,2,13.508592799524282
22,21,0,11.585880984608771
22,23,1,5.426821283251278
23,14,2,13.70225376881229
23,22,1,5.0702149100041884
23,24,2,14.094502103957245
24,13,0,6.078643608310209
24,21,2,13.374511878724816
24,23,0,8.543163621012814
